                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 2.6359,                  1.696,                 2.2024,                0.75032,                0.49123,                0.60353,                0.28758,                 3.5752,                 2.4565,                 2.3828,               0.001109,               0.001109,               0.001109
                     47,                 2.5368,                 1.6378,                 2.1066,                0.77935,                0.55263,                0.65548,                0.31168,                 3.6987,                 2.2851,                 2.4068,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.6522,                 1.7022,                 2.1637,                0.72072,                0.60526,                0.64705,                0.28895,                 3.6844,                 2.2433,                 2.3807,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.6514,                 1.7073,                 2.1802,                0.77456,                0.57895,                0.64537,                0.30014,                  3.751,                 2.1821,                 2.3723,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.4789,                 1.6195,                 2.0858,                 0.7154,                0.53509,                0.60275,                0.25377,                 3.5728,                 2.6759,                 2.3202,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.5143,                  1.636,                 2.1326,                0.66376,                0.60609,                0.61761,                0.30359,                 3.5829,                 2.4244,                 2.3356,                0.00101,                0.00101,                0.00101
                     52,                 2.4966,                 1.6358,                 2.1223,                 0.8107,                    0.5,                0.62696,                0.31284,                 3.5138,                 2.4616,                 2.3034,              0.0009902,              0.0009902,              0.0009902
                     53,                 2.5719,                  1.587,                 2.1208,                0.83259,                0.52356,                0.63042,                0.29984,                 3.6725,                 2.4192,                 2.3331,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.5359,                 1.6085,                 2.1077,                0.71621,                0.52632,                 0.6294,                0.28908,                 3.7446,                 2.3289,                  2.431,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.4656,                 1.5187,                 2.0829,                0.65535,                0.60051,                0.67002,                0.28702,                  3.872,                 2.2399,                 2.5317,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.4937,                  1.539,                 2.0909,                0.71668,                0.62132,                0.68055,                0.32676,                 3.5971,                 2.0943,                 2.4036,               0.000911,               0.000911,               0.000911
                     57,                 2.3839,                 1.5785,                 2.0806,                0.71795,                0.61404,                0.67298,                0.31653,                 3.8064,                 2.1758,                 2.4702,              0.0008912,              0.0008912,              0.0008912
                     58,                  2.545,                 1.5471,                 2.0621,                0.69313,                0.61404,                0.64866,                0.32353,                 3.6047,                 2.1976,                 2.3659,              0.0008714,              0.0008714,              0.0008714
                     59,                  2.426,                 1.4341,                 2.0402,                0.71728,                0.57895,                0.65239,                0.31113,                 3.6859,                   2.14,                 2.3525,              0.0008516,              0.0008516,              0.0008516
                     60,                 2.5391,                 1.5069,                 2.1034,                0.81584,                0.51754,                0.65993,                0.32615,                 3.6164,                 2.1159,                 2.3534,              0.0008318,              0.0008318,              0.0008318
                     61,                 2.3462,                 1.4559,                 2.0605,                0.78736,                0.51972,                0.64756,                0.30512,                 3.7217,                 2.2925,                 2.3146,               0.000812,               0.000812,               0.000812
                     62,                 2.4342,                 1.4492,                 2.0777,                0.74519,                0.64912,                0.68504,                0.32058,                 3.6445,                 2.2986,                 2.3657,              0.0007922,              0.0007922,              0.0007922
                     63,                 2.4619,                 1.4467,                 2.0407,                0.77367,                0.55263,                0.67212,                0.30145,                 3.8115,                 2.1655,                 2.4067,              0.0007724,              0.0007724,              0.0007724
                     64,                 2.4411,                  1.469,                 2.0762,                0.81421,                 0.5614,                0.66283,                0.33946,                 3.7026,                 2.1005,                 2.4416,              0.0007526,              0.0007526,              0.0007526
                     65,                 2.5084,                 1.4558,                  2.042,                0.65827,                0.61404,                 0.6421,                0.28628,                 3.8598,                 2.3133,                 2.4061,              0.0007328,              0.0007328,              0.0007328
                     66,                  2.368,                 1.3903,                 2.0338,                0.78062,                0.63158,                0.70827,                0.33616,                 3.5317,                 2.0739,                 2.3438,               0.000713,               0.000713,               0.000713
                     67,                 2.4188,                 1.4852,                  2.038,                0.78608,                0.54386,                 0.6496,                0.27999,                 3.9048,                 2.1319,                 2.4471,              0.0006932,              0.0006932,              0.0006932
                     68,                 2.4736,                 1.4444,                 2.0456,                0.76387,                 0.5614,                0.64733,                0.30112,                 3.7141,                 2.1362,                 2.4146,              0.0006734,              0.0006734,              0.0006734
                     69,                 2.3549,                 1.4008,                 2.0218,                0.83691,                0.50877,                 0.6568,                0.30876,                  3.764,                 2.1331,                 2.3721,              0.0006536,              0.0006536,              0.0006536
                     70,                 2.2665,                 1.3836,                 1.9988,                0.72208,                0.59649,                0.67531,                0.29296,                 3.7613,                 2.1191,                 2.3771,              0.0006338,              0.0006338,              0.0006338
                     71,                 2.2589,                 1.3643,                 1.9875,                0.77671,                 0.5614,                0.67893,                0.33108,                 3.7479,                 2.0833,                 2.4268,               0.000614,               0.000614,               0.000614
                     72,                 2.1831,                 1.3351,                 2.0212,                0.72675,                0.59649,                0.67239,                0.33313,                 3.7558,                 2.1322,                 2.4505,              0.0005942,              0.0005942,              0.0005942
                     73,                 2.2884,                 1.3469,                 2.0094,                0.86908,                 0.5614,                 0.6861,                0.31857,                 3.7829,                 2.1024,                 2.4452,              0.0005744,              0.0005744,              0.0005744
                     74,                 2.2243,                 1.2756,                 1.9779,                0.79556,                0.58772,                0.66883,                0.28989,                 3.9817,                 2.2053,                 2.5052,              0.0005546,              0.0005546,              0.0005546
                     75,                 2.1708,                 1.3136,                 1.9505,                0.81886,                0.59484,                0.71371,                0.32954,                 3.5854,                 2.0487,                 2.3821,              0.0005348,              0.0005348,              0.0005348
                     76,                 2.2537,                 1.2575,                 1.9674,                0.83013,                0.61404,                0.71547,                0.32853,                  3.757,                 2.0695,                  2.375,               0.000515,               0.000515,               0.000515
                     77,                  2.242,                 1.3515,                 2.0105,                0.85466,                0.61902,                0.72556,                0.34975,                  3.491,                 2.1502,                 2.3311,              0.0004952,              0.0004952,              0.0004952
                     78,                 2.2593,                 1.3086,                 2.0286,                0.79932,                0.62281,                 0.7053,                0.32373,                 3.5773,                 2.0845,                 2.3338,              0.0004754,              0.0004754,              0.0004754
                     79,                 2.2395,                 1.3323,                 1.9841,                 0.8088,                0.63084,                0.71027,                0.34674,                 3.6066,                 2.0438,                 2.2907,              0.0004556,              0.0004556,              0.0004556
                     80,                 2.1601,                 1.2439,                 1.9665,                0.85714,                0.58772,                0.71051,                0.32921,                 3.5418,                 2.0512,                 2.3056,              0.0004358,              0.0004358,              0.0004358
                     81,                 2.1349,                 1.2133,                 1.9446,                0.81192,                0.60587,                0.70158,                0.33554,                 3.6037,                 2.0694,                 2.3277,               0.000416,               0.000416,               0.000416
                     82,                   2.07,                 1.2353,                 1.9681,                0.86963,                0.58514,                 0.7246,                0.35225,                 3.5701,                 2.0273,                 2.3065,              0.0003962,              0.0003962,              0.0003962
                     83,                 2.1111,                 1.2822,                 1.9653,                0.84718,                0.58357,                0.70445,                0.35127,                 3.5898,                 2.1297,                 2.3047,              0.0003764,              0.0003764,              0.0003764
                     84,                 2.1371,                 1.2065,                 1.9407,                0.87688,                0.59649,                0.70551,                0.35224,                 3.4056,                 2.1422,                  2.286,              0.0003566,              0.0003566,              0.0003566
                     85,                 2.1035,                 1.2344,                 1.9607,                0.83264,                  0.611,                0.70823,                0.34967,                 3.4861,                  2.082,                 2.3106,              0.0003368,              0.0003368,              0.0003368
                     86,                  2.048,                 1.1838,                 1.9487,                0.79238,                0.63611,                0.70855,                 0.3655,                 3.3878,                  2.031,                 2.2797,               0.000317,               0.000317,               0.000317
                     87,                 2.0375,                 1.1887,                 1.9496,                0.84705,                0.64035,                0.72126,                0.34614,                 3.5932,                 1.9791,                 2.3254,              0.0002972,              0.0002972,              0.0002972
                     88,                 2.0546,                 1.2107,                 1.9921,                0.86312,                0.64912,                0.74719,                0.33869,                 3.6878,                 2.0522,                  2.376,              0.0002774,              0.0002774,              0.0002774
                     89,                  2.101,                 1.2067,                 1.9236,                0.90103,                0.63889,                0.74783,                0.36564,                  3.508,                 1.9629,                 2.3319,              0.0002576,              0.0002576,              0.0002576
                     90,                 2.0011,                 1.1674,                 1.9178,                0.89954,                0.62841,                0.74229,                0.36787,                 3.5148,                 1.9232,                  2.284,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.9745,                 1.2198,                 1.9327,                0.89465,                0.59594,                0.72019,                0.35311,                 3.5649,                 1.9999,                 2.3053,               0.000218,               0.000218,               0.000218
                     92,                 2.0042,                  1.144,                 1.9149,                0.85764,                0.60526,                 0.6997,                 0.3515,                 3.5753,                 2.0871,                 2.3578,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.9221,                 1.1319,                 1.9041,                0.76816,                0.60526,                0.68558,                0.34027,                 3.6605,                 2.1642,                 2.3747,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.9504,                 1.0965,                 1.9024,                0.83151,                0.56279,                0.68723,                0.33231,                 3.7327,                 2.1783,                 2.3848,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.8788,                 1.0849,                 1.8952,                0.76608,                0.59649,                0.68858,                 0.3196,                 3.6762,                 2.0846,                 2.3533,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.8902,                 1.1073,                 1.8202,                 0.7551,                0.59503,                0.68678,                0.31421,                 3.6858,                 2.1124,                 2.3417,               0.000119,               0.000119,               0.000119
                     97,                 1.8261,                 1.0396,                 1.8884,                0.80599,                0.57895,                0.68399,                0.32137,                 3.6521,                 2.0669,                 2.3317,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.9028,                 1.0426,                 1.8718,                0.88182,                0.54386,                0.69532,                0.33082,                 3.6147,                 2.0427,                 2.3318,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.8295,                 1.0801,                 1.8794,                0.82989,                 0.5614,                0.70135,                0.33093,                  3.621,                 2.0513,                 2.3425,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.8332,                 1.0483,                 1.8463,                0.87651,                0.54386,                0.70372,                0.33315,                 3.6288,                 2.0505,                  2.339,               3.98e-05,               3.98e-05,               3.98e-05
